"NUM","ID","Physical_Address","Physical_Address_Formatted","Lat","Lon"
"189",308461,"53 Mechanic Street Dunedin", "53 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8524936, 170.5290258
"190",308462,"57 Mechanic Street Dunedin", "57 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8525356, 170.5290679
"191",308463,"59 Mechanic Street Dunedin", "59 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.85256709999999, 170.5293021
"192",308464,"61 Mechanic Street Dunedin", "61 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8526622, 170.529237
"193",308465,"65 Mechanic Street Dunedin", "65 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.85282549999999, 170.5294485
"194",308466,"11 Grey Street Dunedin", "11 Grey St, North East Valley, Dunedin 9010, New Zealand", -45.85187759999999, 170.5306291
"195",308467,"9 Grey Street Dunedin", "9 Grey St, North East Valley, Dunedin 9010, New Zealand", -45.85192250000001, 170.5303344
"196",308468,"19 Balfour Street Dunedin", "19 Balfour St, North East Valley, Dunedin 9010, New Zealand", -45.8509155, 170.529977
"197",308469,"29 Grey Street Dunedin", "29 Grey St, North East Valley, Dunedin 9010, New Zealand", -45.85145319999999, 170.530812
"198",308470,"46 James Street Dunedin", "46 James St, North East Valley, Dunedin 9010, New Zealand", -45.8511107, 170.5313709
"199",308471,"44 James Street Dunedin", "44 James St, North East Valley, Dunedin 9010, New Zealand", -45.8510369, 170.5312721
"200",308472,"42 James Street Dunedin", "42 James St, North East Valley, Dunedin 9010, New Zealand", -45.8509546, 170.5311601
"201",308473,"38 James Street Dunedin", "38 James St, North East Valley, Dunedin 9010, New Zealand", -45.8508865, 170.5310133
"202",308474,"36 James Street Dunedin", "36 James St, North East Valley, Dunedin 9010, New Zealand", -45.8508125, 170.5308991
"203",308475,"34 James Street Dunedin", , ,
"204",308476,"30 James Street Dunedin", "30 James St, North East Valley, Dunedin 9010, New Zealand", -45.8505614, 170.5307119
"205",308477,"28 James Street Dunedin", "28 James St, North East Valley, Dunedin 9010, New Zealand", -45.850491, 170.5306185
"206",308478,"26 James Street Dunedin", "26 James St, North East Valley, Dunedin 9010, New Zealand", -45.85040799999999, 170.5305188
"207",308479,"24 James Street Dunedin", "24 James St, North East Valley, Dunedin 9010, New Zealand", -45.8503093, 170.5304128
"208",308481,"22 Royston Street Dunedin", "22 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.8501334, 170.5298854
"209",308482,"20 Royston Street Dunedin", "20 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.8503103, 170.5293762
"210",308483,"18 Royston Street Dunedin", "18 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.85044870000001, 170.5290105
"211",308484,"16 Royston Street Dunedin", "16 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.850526, 170.5289082
"212",308485,"14 Royston Street Dunedin", "14 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.8505426, 170.5287347
"213",308486,"12 Royston Street Dunedin", "12 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.85058919999999, 170.528591
"214",308487,"10 Royston Street Dunedin", "10 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.8506554, 170.5284659
"215",308488,"8 Royston Street Dunedin", "8 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.8506909, 170.5283112
"216",308489,"2 Royston Street Dunedin", "2 Royston St, North East Valley, Dunedin 9010, New Zealand", -45.8507616, 170.5279818
"217",308490,"33 Blacks Road Dunedin", "33 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8509492, 170.5281771
"218",308491,"21 Marquis Street Dunedin", "21 Marquis St, North East Valley, Dunedin 9010, New Zealand", -45.8505411, 170.52957
"219",308492,"24 Marquis Street Dunedin", "24 Marquis St, North East Valley, Dunedin 9010, New Zealand", -45.8507502, 170.5297165
"220",308493,"22 Marquis Street Dunedin", "22 Marquis St, North East Valley, Dunedin 9010, New Zealand", -45.8508338, 170.5295965
"221",308494,"18 Marquis Street Dunedin", "18 Marquis St, North East Valley, Dunedin 9010, New Zealand", -45.8510514, 170.5294592
