OBJECTID,AU2013_V1_00,AU2013_V1_00_NAME,AREA_SQ_KM,LAND_AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE
204,521902,Middlemore,0.7068487,0.7068487,1764078.925,5907932.94,-36.96040545,174.8430352
205,522100,Papatoetoe West,1.43385622,1.43385622,1764423.055,5904970.284,-36.98703825,174.8475442
206,522201,Papatoetoe North,1.39367701,1.39367701,1764768.158,5906669.28,-36.97167033,174.8510491
207,523113,Greenmount,3.81676425,3.81676425,1769298.351,5909876.996,-36.94196613,174.9011986
208,523114,Point View,4.48866557,4.48866557,1771479.456,5909714.829,-36.94303261,174.9257164
209,523115,Baverstock Oaks,1.72770726,1.72770726,1770516.736,5908461.097,-36.95450283,174.9151934
210,523116,Mission Heights,0.83151699,0.83151699,1772078.651,5908011.271,-36.9582713,174.9328298
211,523201,Shelly Park,0.99918445,0.99918445,1773464.052,5913427.696,-36.90921879,174.9471406
212,523202,Turanga,56.46655077,56.46655077,1777065.068,5910347.967,-36.93629515,174.9882608
213,523300,Beachlands-Maraetai,15.75808396,15.75808396,1779804.046,5915281.719,-36.89132847,175.0178278
214,523402,Otara West,1.54086018,1.54086018,1766124.415,5908585.071,-36.95417115,174.865857
215,523403,Wymondley,0.35150735,0.35150735,1765370.276,5908608.988,-36.95408844,174.8573856
216,523404,Grange,1.06250065,1.06250065,1764938.964,5907793.067,-36.96151536,174.8527216
217,523501,Otara North,1.20998135,1.20998135,1766993.329,5908435.973,-36.95536076,174.8756446
218,523502,Otara East,1.18140422,1.18140422,1767816.521,5908371.781,-36.95579272,174.8849002
219,523601,Otara South,0.80187025,0.80187025,1767126.285,5906800.486,-36.97007231,174.8774991
220,523602,Ferguson,0.98687774,0.98687774,1767581.972,5907224.964,-36.96616688,174.8825216
221,523711,Rongomai,2.85506067,2.85506067,1768641.103,5907244.532,-36.96580139,174.894409
222,523712,Donegal Park,3.44768571,3.44768571,1769969.783,5905777.114,-36.97878298,174.9096574
223,523713,Ormiston,9.70747979,9.70747979,1771568.402,5906284.013,-36.97392593,174.9274939
224,523721,Clover Park,0.92210851,0.92210851,1768494.19,5905721.288,-36.97955142,174.8930994
225,523722,Redoubt North,1.54687228,1.54687228,1768439.005,5905008.083,-36.98598694,174.8926389
226,523813,Ardmore,25.78921038,25.78921038,1775341.039,5899555.685,-37.03384644,174.9714204
227,523814,Totara Heights,2.68983617,2.68983617,1770252.996,5902430.439,-37.0088833,174.9135933
228,523816,Randwick Park,0.94818314,0.94818314,1770430.447,5900979.57,-37.02192252,174.915915
229,523817,Hyperion,0.50323179,0.50323179,1770448.23,5900322.144,-37.02784227,174.9162637
230,523818,Redoubt East,5.97015666,5.97015666,1772908.274,5904235.929,-36.99213236,174.9430082
231,523819,Mill Road,1.57453325,1.57453325,1771291.614,5902577.805,-37.00736687,174.9252276
232,523820,Redoubt South,3.91485959,3.91485959,1769448.438,5903807.225,-36.99662467,174.9042454
233,524812,Weymouth East,1.6104286,1.6104286,1766439.355,5898983.252,-37.04062425,174.8715122
234,524821,Clendon North,0.74920253,0.74920253,1765454.007,5900797.547,-37.02445237,174.860039
235,524822,Clendon South,1.05668037,1.05668037,1765596.864,5899920.401,-37.03232994,174.8618372
236,524901,Hillpark,1.86197844,1.86197844,1768978.211,5901763.922,-37.01511836,174.8994218
237,524902,Manurewa East,0.82850153,0.82850153,1769549.336,5900562.622,-37.02583845,174.9061088
238,525001,Manurewa Central,1.23896123,1.23896123,1768156.689,5901363.711,-37.01887147,174.8902813
239,525002,Beaumont,0.89902077,0.89902077,1769087.708,5900013.695,-37.03086719,174.901045
240,525101,Leabank,1.94633911,1.94633911,1767970.534,5899828.907,-37.03273257,174.8885321
241,525102,Wattle Farm,3.14417674,3.14417674,1767833.84,5898232.731,-37.04713771,174.8873521
242,525201,Clevedon,185.6541569,183.7227679,1783983.883,5903995.157,-36.9921994,175.0674545
243,525202,Kawakawa-Orere,105.2160015,105.2160015,1796320.349,5904400.3,-36.98605522,175.2058853
244,525410,Papakura Central,1.07195445,1.07195445,1772893.955,5895899.309,-37.06724113,174.9447621
245,525420,Papakura North,1.15733531,1.15733531,1772261.717,5896794.448,-37.05929304,174.937449
246,525510,Papakura South,1.95689351,1.95689351,1774451.562,5895301.616,-37.07233727,174.962412
247,525520,Opaheke,1.10872123,1.10872123,1773158.108,5894830.063,-37.07682533,174.9479783
248,525530,Rosehill,1.36006737,1.36006737,1772216.368,5894567.3,-37.0793661,174.9374498
249,525540,Pahurehure,1.20714961,1.20714961,1771820.836,5895765.073,-37.06864775,174.9327283
250,525610,Papakura East,1.64653582,1.64653582,1774759.081,5896710.011,-37.05959175,174.9655419
251,525620,Massey Park,0.71123695,0.71123695,1773741.256,5896386.123,-37.06269877,174.9541752
252,525630,Papakura North East,1.38069024,1.38069024,1773458.944,5897227.921,-37.05516719,174.9508073
253,525700,Red Hill,1.72870239,1.72870239,1775621.393,5895815.669,-37.06748778,174.9754442
254,525910,Pukekohe North,5.22228212,5.22228212,1769327.607,5882186.418,-37.19143455,174.9077669
255,525921,Pukekohe West,4.42801317,4.42801317,1767873.977,5880052.88,-37.21091857,174.8918773
256,525922,Bledisloe Park,9.64355093,9.64355093,1769944.347,5879481.824,-37.21568835,174.9153279
257,526103,Waiuku West,2.19856672,2.19856672,1752953.461,5876204.689,-37.24815674,174.7245912
258,526104,Waiuku East,3.20023909,3.15849409,1754185.694,5876219.686,-37.24781848,174.738476
259,527222,Meremere,0.56940397,0.56940397,1783401.666,5867624.152,-37.3199548,175.0698323
260,527401,Huntly West,7.3345237,7.3345237,1789492.474,5840882.082,-37.55961041,175.1453975
261,527402,Huntly East,39.87679551,39.87679551,1793476.475,5842627.81,-37.54305859,175.1900134
262,527501,Cambridge North,1.81169922,1.81169922,1817746.175,5804383.054,-37.88203792,175.4759478
263,527502,Cambridge West,2.39892937,2.39892937,1816176.268,5803839.312,-37.88730818,175.4582747
264,527503,Cambridge Central,2.53567337,2.53567337,1817856.084,5803385.252,-37.89099648,175.4774977
265,527504,Leamington West,3.92659375,3.92659375,1816531.537,5801802.001,-37.90556917,175.4629229
266,527505,Leamington East,2.8924667,2.8924667,1817976.921,5801318.138,-37.90958108,175.4794955
267,527600,Ohaupo,1.88827527,1.88827527,1802833.19,5800907.646,-37.91678018,175.3074838
268,527700,Kihikihi,2.10422693,2.10422693,1806258.492,5787328.215,-38.03829738,175.3503197
269,527810,Peacocke,7.54110234,7.54110234,1803501.842,5811267.927,-37.8233289,175.3121657
270,527820,Temple View,4.22258104,4.22258104,1795687.223,5812007.649,-37.81837587,175.2232396
