Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,7062.709961,7068.950195,7051.209961,7065.229980,7065.229980,42178100
2017-03-28,7070.569824,7133.569824,7070.569824,7133.569824,7133.569824,33339000
2017-03-29,7139.359863,7177.689941,7125.140137,7169.109863,7169.109863,36230600
2017-03-30,7170.189941,7196.779785,7166.009766,7196.779785,7196.779785,60048300
2017-04-02,7188.939941,7225.149902,7182.459961,7225.020020,7225.020020,32092400
2017-04-03,7227.279785,7247.620117,7200.839844,7244.540039,7244.540039,37712500
2017-04-04,7244.540039,7265.060059,7223.529785,7265.049805,7265.049805,84445400
2017-04-05,7265.060059,7289.529785,7245.580078,7289.520020,7289.520020,47255400
2017-04-06,7276.299805,7289.529785,7234.979980,7243.759766,7243.759766,77322500
2017-04-09,7243.750000,7253.310059,7230.180176,7238.859863,7238.859863,28191700
2017-04-10,7238.870117,7255.330078,7235.810059,7254.379883,7254.379883,32184600
2017-04-11,7254.379883,7258.879883,7221.870117,7251.540039,7251.540039,35918300
2017-04-12,7251.549805,7251.549805,7219.919922,7229.799805,7229.799805,31831000
2017-04-17,7229.799805,7256.839844,7223.910156,7233.609863,7233.609863,27551600
2017-04-18,7233.600098,7233.609863,7193.959961,7218.509766,7218.509766,36735300
2017-04-19,7218.520020,7218.520020,7188.049805,7188.049805,7188.049805,32851000
2017-04-20,7188.060059,7232.790039,7188.049805,7197.220215,7197.220215,34114100
2017-04-23,7197.209961,7234.299805,7196.149902,7222.939941,7222.939941,27562300
2017-04-25,7222.939941,7335.140137,7222.939941,7335.129883,7335.129883,68463900
2017-04-26,7335.140137,7360.990234,7324.649902,7354.609863,7354.609863,27800800
2017-04-27,7354.620117,7386.890137,7351.259766,7378.750000,7378.750000,44348400
2017-04-30,7378.750000,7398.419922,7349.370117,7382.220215,7382.220215,26392400
2017-05-01,7382.220215,7422.490234,7379.839844,7422.490234,7422.490234,31909700
2017-05-02,7422.490234,7430.200195,7396.169922,7405.839844,7405.839844,97252200
2017-05-03,7401.569824,7405.839844,7367.729980,7378.419922,7378.419922,29381700
2017-05-04,7382.450195,7386.020020,7364.839844,7365.500000,7365.500000,26697100
2017-05-07,7367.160156,7426.459961,7367.160156,7426.459961,7426.459961,26074900
2017-05-08,7426.459961,7426.459961,7391.560059,7412.120117,7412.120117,31249700
2017-05-09,7412.120117,7429.149902,7392.859863,7424.200195,7424.200195,47717800
2017-05-10,7424.200195,7501.500000,7424.200195,7489.709961,7489.709961,37985400
2017-05-11,7489.709961,7492.080078,7451.680176,7452.379883,7452.379883,28580300
2017-05-14,7456.689941,7464.250000,7425.229980,7429.939941,7429.939941,23621100
2017-05-15,7429.939941,7445.209961,7407.609863,7407.609863,7407.609863,25456000
2017-05-16,7408.319824,7443.330078,7408.319824,7422.500000,7422.500000,29371200
2017-05-17,7424.950195,7424.950195,7357.069824,7371.759766,7371.759766,34438100
2017-05-18,7371.759766,7401.149902,7370.089844,7392.109863,7392.109863,22844300
2017-05-21,7392.109863,7410.790039,7382.370117,7409.500000,7409.500000,19979800
2017-05-22,7409.500000,7415.819824,7382.850098,7384.700195,7384.700195,21961900
2017-05-23,7385.970215,7421.779785,7383.149902,7421.779785,7421.779785,29714500
2017-05-24,7430.040039,7436.450195,7414.339844,7434.470215,7434.470215,21297300
2017-05-25,7434.470215,7441.600098,7417.580078,7441.569824,7441.569824,27555700
2017-05-28,7412.740234,7412.740234,7412.740234,7412.740234,7412.740234,0
2017-05-29,7412.740234,7428.399902,7407.609863,7411.950195,7411.950195,22813500
2017-05-30,7411.950195,7418.899902,7389.979980,7418.899902,7418.899902,57416200
2017-05-31,7424.520020,7451.950195,7400.310059,7450.899902,7450.899902,28758100
2017-06-01,7450.899902,7499.970215,7446.240234,7499.970215,7499.970215,37762300
2017-06-05,7503.930176,7533.970215,7494.379883,7494.970215,7494.970215,39873700
2017-06-06,7497.450195,7497.450195,7441.040039,7467.899902,7467.899902,31900700
2017-06-07,7473.669922,7473.669922,7444.270020,7458.660156,7458.660156,30644300
2017-06-08,7458.660156,7458.660156,7423.229980,7436.100098,7436.100098,24075100
2017-06-11,7441.750000,7448.500000,7432.740234,7432.740234,7432.740234,14948600
2017-06-12,7433.540039,7446.330078,7415.979980,7440.080078,7440.080078,38458000
2017-06-13,7441.209961,7497.790039,7441.209961,7483.990234,7483.990234,31526900
2017-06-14,7489.759766,7516.350098,7487.549805,7516.350098,7516.350098,27334000
2017-06-15,7516.350098,7564.370117,7507.669922,7552.750000,7552.750000,68539200
2017-06-18,7552.750000,7593.509766,7545.220215,7592.029785,7592.029785,35921300
2017-06-19,7592.029785,7613.189941,7586.529785,7586.529785,7586.529785,24841500
2017-06-20,7586.529785,7586.529785,7527.109863,7527.109863,7527.109863,42562700
2017-06-21,7527.109863,7571.979980,7521.709961,7563.689941,7563.689941,36888600
2017-06-22,7563.689941,7568.799805,7541.959961,7553.640137,7553.640137,30835700
2017-06-25,7553.640137,7597.169922,7544.709961,7595.500000,7595.500000,26768800
2017-06-26,7596.569824,7637.049805,7589.459961,7626.350098,7626.350098,27569200
2017-06-27,7626.350098,7629.089844,7593.669922,7624.490234,7624.490234,77522700
2017-06-28,7624.490234,7688.629883,7624.490234,7685.450195,7685.450195,31420700
2017-06-29,7685.450195,7685.450195,7611.439941,7611.439941,7611.439941,47475800
2017-07-02,7611.439941,7626.160156,7585.970215,7588.430176,7588.430176,27577000
2017-07-03,7588.430176,7620.640137,7585.430176,7620.640137,7620.640137,29242700
2017-07-04,7620.640137,7620.640137,7590.350098,7595.669922,7595.669922,26292300
2017-07-05,7596.330078,7629.609863,7590.350098,7629.609863,7629.609863,28558400
2017-07-06,7629.609863,7629.609863,7587.520020,7622.129883,7622.129883,24217200
2017-07-09,7622.680176,7634.209961,7583.950195,7583.950195,7583.950195,25759600
2017-07-10,7583.950195,7628.569824,7583.950195,7628.569824,7628.569824,29106300
2017-07-11,7628.569824,7635.540039,7586.020020,7586.020020,7586.020020,37642900
2017-07-12,7587.850098,7626.890137,7587.430176,7610.890137,7610.890137,34432300
2017-07-13,7610.890137,7650.129883,7610.890137,7649.770020,7649.770020,49079100
2017-07-16,7649.770020,7699.569824,7649.370117,7699.569824,7699.569824,33637200
2017-07-17,7699.569824,7707.330078,7681.979980,7707.330078,7707.330078,30011700
2017-07-18,7707.330078,7732.750000,7695.870117,7732.750000,7732.750000,36347200
2017-07-19,7732.750000,7732.750000,7672.439941,7672.439941,7672.439941,29694400
2017-07-20,7672.439941,7675.189941,7647.629883,7670.859863,7670.859863,43564500
2017-07-23,7670.859863,7682.560059,7645.759766,7682.290039,7682.290039,31109100
2017-07-24,7678.229980,7713.060059,7671.959961,7713.060059,7713.060059,30622500
2017-07-25,7713.060059,7720.419922,7695.290039,7710.589844,7710.589844,33169900
2017-07-26,7710.589844,7727.129883,7705.240234,7711.720215,7711.720215,28396800
2017-07-27,7711.720215,7711.799805,7638.450195,7639.509766,7639.509766,34190100
2017-07-30,7639.509766,7693.990234,7639.509766,7693.990234,7693.990234,36509500
2017-07-31,7693.990234,7729.439941,7687.060059,7729.439941,7729.439941,31373100
