Meshblock (2013 areas),Area unit code (2013 areas),Area unit description,Ward code (2013 areas),Ward description,Local board code (2013 areas),Local board area description,Territorial authority code (2013 areas),Territorial authority area description,Regional council code (2013 areas),Regional council area description
MB 0471400,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471501,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471502,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471600,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471701,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471702,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471800,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0471900,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472000,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472100,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472200,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472300,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472400,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472501,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472502,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472600,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472700,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472800,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0472900,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473000,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473100,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473200,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473300,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473400,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473500,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473600,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473700,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473800,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0473900,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474000,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474100,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474200,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474300,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474400,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474500,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474600,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474700,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474800,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474901,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0474902,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475000,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475100,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475200,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475301,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475302,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475400,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475500,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475600,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475701,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475702,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475800,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0475900,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476000,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476100,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476200,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476300,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476400,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476500,517001,Glen Innes West,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476600,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476700,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476800,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0476900,517002,Glen Innes East,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477000,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477100,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477201,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477202,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477300,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477400,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477500,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477600,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477700,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477800,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0477900,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478000,520301,Mt Wellington Domain,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478100,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478200,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478300,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478400,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478500,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478600,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478700,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478800,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0478900,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479000,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479100,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479200,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479300,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479400,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479500,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479601,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479602,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479700,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479800,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0479900,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480001,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480002,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480100,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480200,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480300,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480400,517100,Point England,07609,Maungakiekie-Tamaki Ward,07615,Maungakiekie-Tamaki Local Board Area,076,Auckland,02,Auckland Region
MB 0480500,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0480601,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480603,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480604,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480605,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480606,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480607,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480608,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480700,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480800,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0480900,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0481000,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481101,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481102,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481103,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481201,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481202,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481301,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0481302,516101,Remuera West,07605,Waitemata and Gulf Ward,07610,Waitemata Local Board Area,076,Auckland,02,Auckland Region
MB 0481400,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481500,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481600,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481700,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481801,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481802,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481901,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0481902,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482000,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482101,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482102,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482103,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482201,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482202,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482300,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482400,516101,Remuera West,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482500,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482600,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482700,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482800,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0482900,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483000,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483101,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483102,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483200,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483300,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483400,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483500,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483600,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483700,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483800,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0483900,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484000,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484100,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484201,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484202,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484300,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484400,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484500,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484600,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484700,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484800,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0484900,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485000,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485100,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485200,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485300,516102,Waitaramoa,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485400,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485500,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485600,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485700,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485800,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0485900,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486000,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486100,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486200,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486300,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486400,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486500,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486600,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486700,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486800,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0486900,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487000,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487100,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487200,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487300,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487400,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487500,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487600,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487700,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487800,516201,Orakei South,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0487900,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488001,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488002,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488100,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488200,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488300,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488400,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488500,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488600,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488700,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488800,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0488900,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0489001,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0489002,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0489100,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0489201,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
MB 0489202,516202,Waiata,07608,Orakei Ward,07614,Orakei Local Board Area,076,Auckland,02,Auckland Region
