Count,Gender,Totwkfood,Occupation,Organic,Size,Mktspend,Stalls,Time,Visitfreq
369,1,325 ,3,0,5,50,1,45,1
370,0,329 ,3,1,5,50,1,45,3
371,1,339 ,2,0,4,40,3,55,0
372,1,340 ,3,0,5,50,3,35,1
373,1,348 ,3,0,5,35,3,45,2
374,1,350 ,5,0,6,40,2,40,3
375,1,354 ,2,0,3,50,4,40,2
376,1,359 ,1,1,5,50,4,75,3
377,1,370 ,2,1,4,60,1,50,1
378,1,379 ,3,1,4,60,3,60,3
379,1,385 ,3,0,4,70,3,50,3
380,1,391 ,2,0,4,50,3,35,0
381,0,404 ,5,1,6,50,4,60,3
382,1,423 ,2,0,5,40,4,30,2
383,1,443 ,5,1,6,40,3,50,3
384,1,444 ,2,0,5,80,4,70,0
385,1,448 ,2,0,5,70,4,60,2
386,1,472 ,2,0,5,20,3,20,2
387,1,474 ,1,0,4,37,2,30,0
388,1,493 ,1,0,6,70,3,60,3
389,0,513 ,5,1,6,60,4,60,2
390,1,515 ,2,0,4,100,3,120,3
391,0,524 ,2,0,5,75,3,45,2
392,0,529 ,4,0,4,50,2,65,0
393,1,544 ,2,0,6,35,3,75,0
394,1,577 ,2,1,4,70,1,30,2
395,1,583 ,2,0,5,130,4,90,3
396,1,596 ,2,1,6,90,1,45,2
397,0,598 ,2,0,4,60,4,40,1
398,0,598 ,2,0,5,75,4,60,1
399,0,612 ,2,1,5,80,3,40,3
400,1,150 ,0,1,4,60,1,50,1
401,0,95 ,5,0,3,35,2,60,2
402,1,275 ,1,1,5,110,1,90,0
403,0,205 ,2,1,2,95,1,45,1
404,1,75 ,4,1,1,30,1,30,1
405,1,325 ,1,0,4,55,2,55,0
406,0,145 ,0,0,1,65,1,40,2
407,1,125 ,0,0,5,35,3,45,3
408,1,80 ,3,0,2,25,4,44,3
409,1,105 ,4,0,2,20,3,38,3
410,0,225 ,2,1,4,75,4,40,1
411,1,265 ,0,0,6,60,2,20,1
412,0,125 ,1,1,3,45,4,90,2
413,1,85 ,4,0,1,20,4,60,3
414,1,210 ,2,0,5,50,1,45,1
415,1,145 ,0,0,6,15,4,20,3
416,0,245 ,2,0,2,80,2,40,2
417,0,250 ,3,0,5,75,1,48,2
418,1,200 ,3,0,2,80,4,45,2
419,1,165 ,1,1,3,70,2,40,1
420,0,125 ,2,1,1,57,2,55,2
421,0,175 ,2,1,1,45,4,70,0
422,1,165 ,2,1,1,50,3,75,0
423,1,250 ,2,1,4,79,2,42,0
424,1,211 ,2,0,2,70,4,48,2
425,1,175 ,2,0,2,60,2,42,2
426,0,200 ,2,1,4,66,2,69,1
427,0,290 ,2,1,3,90,1,95,0
428,1,325 ,2,1,2,110,1,65,0
429,0,375 ,2,1,5,80,1,28,1
430,0,165 ,2,0,2,58,4,52,2
431,1,375 ,2,1,5,130,2,95,2
432,0,145 ,2,1,2,60,1,60,2
