Meshblock (2013 Areas),Year,2001 proportion single family households
MB 0173006,2001,0.692307692
MB 0173007,2001,0.75
MB 0173008,2001,0.428571429
MB 0173009,2001,0.6
MB 0173010,2001,0.5
MB 0173011,2001,0.666666667
MB 0173012,2001,0.5
MB 0173013,2001,0.8
MB 0173105,2001,0.769230769
MB 0173106,2001,0.870967742
MB 0173108,2001,0.814814815
MB 0173111,2001,0.8125
MB 0173112,2001,0.9
MB 0173113,2001,0.8
MB 0173114,2001,0.789473684
MB 0173115,2001,0.869565217
MB 0173116,2001,1
MB 0173117,2001,0.736842105
MB 0173118,2001,0.789473684
MB 0173119,2001,0.636363636
MB 0173120,2001,0.428571429
MB 0173121,2001,0.846153846
MB 0173201,2001,0.875
MB 0173202,2001,0.703703704
MB 0173305,2001,0.85
MB 0173306,2001,0.846153846
MB 0173308,2001,0.84
MB 0173309,2001,0.8
MB 0173310,2001,0.818181818
MB 0173311,2001,0.772727273
MB 0173312,2001,0.75
MB 0173313,2001,0.785714286
MB 0173314,2001,0.846153846
MB 0173404,2001,0.8125
MB 0173406,2001,0.85
MB 0173407,2001,0.833333333
MB 0173408,2001,0.791666667
MB 0173410,2001,0.833333333
MB 0173411,2001,0.75
MB 0173412,2001,0.727272727
MB 0173413,2001,0.8
MB 0173414,2001,0.913043478
MB 0173415,2001,0.8125
MB 0173416,2001,0.764705882
MB 0173417,2001,0.666666667
MB 0173418,2001,0.666666667
MB 0173501,2001,0.6875
MB 0173502,2001,0.84
MB 0173504,2001,0.75
MB 0173505,2001,0.666666667
MB 0173506,2001,0.75
MB 0173507,2001,0.5
MB 0173508,2001,0.666666667
MB 0173509,2001,1
MB 0173601,2001,0.75862069
MB 0173603,2001,0.806451613
MB 0173604,2001,0.6875
MB 0173605,2001,0.615384615
MB 0173706,2001,0.75
MB 0173707,2001,0.6
MB 0173708,2001,#VALUE!
MB 0173709,2001,0.666666667
MB 0173710,2001,1
MB 0173711,2001,0.625
MB 0173712,2001,0.857142857
MB 0173713,2001,1
MB 0173714,2001,0.833333333
MB 0173715,2001,0.8
MB 0173716,2001,0.857142857
MB 0173717,2001,0.6
MB 0173718,2001,0.625
MB 0173803,2001,0.666666667
MB 0173804,2001,#VALUE!
MB 0173805,2001,0.857142857
MB 0173806,2001,0.394736842
MB 0173807,2001,0.636363636
MB 0173808,2001,0.75
MB 0173809,2001,0.2
MB 0173810,2001,0.7
MB 0173811,2001,0.733333333
MB 0173903,2001,0.631578947
MB 0173904,2001,0.863636364
MB 0173905,2001,0.80952381
MB 0173906,2001,0.823529412
MB 0173907,2001,0.9
MB 0173908,2001,0.692307692
MB 0173909,2001,#VALUE!
MB 0173910,2001,#VALUE!
MB 0173911,2001,0.75
MB 0173912,2001,0.666666667
MB 0173913,2001,0.857142857
MB 0173914,2001,#VALUE!
MB 0174003,2001,0.730769231
MB 0174004,2001,0.722222222
MB 0174005,2001,0.666666667
MB 0174006,2001,0.705882353
MB 0174007,2001,#VALUE!
MB 0174008,2001,#VALUE!
MB 0174009,2001,#VALUE!
MB 0174010,2001,#VALUE!
MB 0174011,2001,0.666666667
MB 0174012,2001,0.666666667
MB 0174013,2001,#VALUE!
MB 0174103,2001,0.769230769
MB 0174104,2001,0.818181818
MB 0174106,2001,0.888888889
MB 0174107,2001,0.75
MB 0174108,2001,0.875
MB 0174109,2001,0.833333333
MB 0174110,2001,0.6
MB 0174111,2001,1
MB 0174203,2001,0.666666667
MB 0174204,2001,0.708333333
MB 0174208,2001,0.6
MB 0174209,2001,0.9
MB 0174210,2001,1
MB 0174211,2001,0.8
MB 0174212,2001,0.666666667
MB 0174213,2001,0.714285714
MB 0174214,2001,0.833333333
MB 0174215,2001,0.5
MB 0174216,2001,0.833333333
MB 0174217,2001,0.5
MB 0174218,2001,0.571428571
MB 0174219,2001,0.714285714
MB 0174220,2001,0.25
MB 0174221,2001,0.714285714
MB 0174222,2001,0.5
MB 0174301,2001,0.666666667
MB 0174302,2001,0.875
MB 0174303,2001,0.714285714
MB 0174304,2001,0.7
MB 0174404,2001,0.730769231
MB 0174405,2001,0.666666667
MB 0174406,2001,0.2
MB 0174407,2001,0.5
MB 0174408,2001,0.777777778
MB 0174409,2001,0.4
MB 0174410,2001,0.571428571
MB 0174411,2001,0.777777778
MB 0174412,2001,0.8
MB 0174501,2001,0.727272727
MB 0174505,2001,0.714285714
MB 0174506,2001,0.583333333
MB 0174507,2001,0.705882353
MB 0174508,2001,0.722222222
MB 0174509,2001,0.730769231
MB 0174510,2001,0.666666667
MB 0174512,2001,#VALUE!
MB 0174513,2001,0.714285714
MB 0174514,2001,0.625
MB 0174515,2001,0.571428571
MB 0174516,2001,0.666666667
