Meshblock,Year,Proprtion partnered,Proportion 1 or more children,Proportion with at least a bachelors degree,Median personal income 2001
MB 0147800,2001,0.652173913,NA,NA,25800
MB 0147900,2001,0.636363636,NA,NA,22500
MB 0148000,2001,0.722222222,NA,NA,46100
MB 0148100,2001,0.7,NA,NA,27500
MB 0148201,2001,0.666666667,NA,NA,26300
MB 0148202,2001,0.6,NA,NA,57500
MB 0148301,2001,0.636363636,NA,NA,35000
MB 0148302,2001,1,NA,NA,27500
MB 0148400,2001,0.765957447,NA,NA,31000
MB 0148500,2001,0.581395349,NA,NA,25800
MB 0148601,2001,0.625,NA,NA,28800
MB 0148602,2001,0.727272727,NA,NA,28100
MB 0148603,2001,#VALUE!,NA,NA,..C
MB 0148701,2001,#VALUE!,NA,NA,..C
MB 0148703,2001,0.538461538,NA,NA,27500
MB 0148704,2001,0.7,NA,NA,20800
MB 0148705,2001,0.636363636,NA,NA,15800
MB 0148706,2001,0.608695652,NA,NA,17500
MB 0148707,2001,0.444444444,NA,NA,15800
MB 0148801,2001,#VALUE!,NA,NA,..C
MB 0148802,2001,0.64,NA,NA,18800
MB 0148900,2001,0.684210526,NA,NA,20800
MB 0149000,2001,0.612903226,NA,NA,23800
MB 0149100,2001,0.65625,NA,NA,22500
MB 0149200,2001,0.625,NA,NA,23100
MB 0149300,2001,0.689655172,NA,NA,28800
MB 0149400,2001,0.666666667,NA,NA,25800
MB 0149500,2001,0.666666667,NA,NA,26700
MB 0149600,2001,0.703703704,NA,NA,31700
MB 0149700,2001,0.678571429,NA,NA,20800
MB 0149800,2001,0.666666667,NA,NA,20800
MB 0149900,2001,0.583333333,NA,NA,26300
MB 0150000,2001,0.6,NA,NA,17500
MB 0150103,2001,0.727272727,NA,NA,17500
MB 0150104,2001,0.4,NA,NA,22500
MB 0150105,2001,0.769230769,NA,NA,18800
MB 0150106,2001,0.647058824,NA,NA,27500
MB 0150107,2001,0.625,NA,NA,12500
MB 0150200,2001,0.679245283,NA,NA,26000
MB 0150300,2001,0.666666667,NA,NA,17500
MB 0150400,2001,0.657142857,NA,NA,20400
MB 0150500,2001,0.6875,NA,NA,20800
MB 0150600,2001,0.6,NA,NA,25300
MB 0150700,2001,0.636363636,NA,NA,13800
MB 0150801,2001,0.727272727,NA,NA,22500
